QuarterID,QuarterName,YearID
Y2020Q1,2020 Quarter I,Y20
Y2020Q2,2020 Quarter II,Y20
Y2020Q3,2020 Quarter III,Y20
Y2020Q4,2020 Quarter IV,Y20
Y2021Q1,2021 Quarter I,Y21
Y2021Q2,2021 Quarter II,Y21
Y2021Q3,2021 Quarter III,Y21
Y2021Q4,2021 Quarter IV,Y21
Y2022Q1,2022 Quarter I,Y22
Y2022Q2,2022 Quarter II,Y22
Y2022Q3,2022 Quarter III,Y22
Y2022Q4,2022 Quarter IV,Y22
Y2023Q1,2023 Quarter I,Y23
Y2023Q2,2023 Quarter II,Y23
Y2023Q3,2023 Quarter III,Y23
Y2023Q4,2023 Quarter IV,Y23
Y2024Q1,2024 Quarter I,Y24
Y2024Q2,2024 Quarter II,Y24
Y2024Q3,2024 Quarter III,Y24
Y2024Q4,2024 Quarter IV,Y24
Y2025Q1,2025 Quarter I,Y25
Y2025Q2,2025 Quarter II,Y25
Y2025Q3,2025 Quarter III,Y25
